Feature,Importance
Bwd Packet Length Std,0.021549327545446594
Avg Bwd Segment Size,0.017484839510579712
Average Packet Size,0.016517812521683994
Packet Length Std,0.01620007876424494
Bwd Packet Length Mean,0.014531033117588332
Fwd IAT Std,0.012799005364433154
Packet Length Mean,0.011907580507942153
Flow Duration,0.010376785824992366
Flow IAT Std,0.01029269648280694
Total Length of Bwd Packets,0.008000599458811557
Fwd IAT Mean,0.007939181657457262
Bwd IAT Std,0.006307262751099431
Flow IAT Mean,0.00600964589818513
Fwd Packet Length Std,0.004790463018325817
Bwd IAT Mean,0.004429799507673286
Flow Packets/s,0.004421833548897539
Bwd Packets/s,0.0041843083250637896
Total Backward Packets,0.003741326775237945
Bwd Header Length,0.0033895847534711706
Fwd Packets/s,0.003341400045729378
Fwd Header Length,0.0028999456872702387
Fwd Packet Length Mean,0.0025220738114358284
Total Length of Fwd Packets,0.0022549632732870523
Flow Bytes/s,0.0020862507457811838
Total Fwd Packets,0.0018060438500451352
Avg Fwd Segment Size,0.0017975540533888973
